date,pair,fold,pnl,equity,event
2019-05-30,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-05-31,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-03,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-04,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-06,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-07,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-10,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-11,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-12,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-13,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-14,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-17,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-18,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-19,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-20,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-21,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-24,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-25,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-26,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-27,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-06-28,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-01,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-02,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-03,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-04,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-05,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-08,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-09,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-10,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-11,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-12,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-15,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-16,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-17,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-18,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-19,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-22,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-23,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-24,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-25,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-26,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-29,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-30,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-07-31,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-01,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-02,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-05,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-06,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-07,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-08,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-09,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-13,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-14,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-16,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-19,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-20,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-21,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-22,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-23,HDFCBANK__KOTAKBANK,0,0.0,200000.0,flat
2019-08-26,HDFCBANK__KOTAKBANK,0,-1010.2053060355759,198989.79469396442,entry
2019-08-27,HDFCBANK__KOTAKBANK,0,-530.6496778146304,198459.1450161498,hold
2019-08-28,HDFCBANK__KOTAKBANK,0,-248.04429310252567,198211.10072304728,hold
2019-08-29,HDFCBANK__KOTAKBANK,0,-513.1677305757705,197697.9329924715,hold
2019-08-30,HDFCBANK__KOTAKBANK,0,-727.2646498688998,196970.66834260258,hold
2019-09-03,HDFCBANK__KOTAKBANK,0,-77.13897840860446,196893.529364194,hold
2019-09-04,HDFCBANK__KOTAKBANK,0,-757.4058934075342,196136.12347078646,hold
2019-09-05,HDFCBANK__KOTAKBANK,0,-187.11623965913955,195949.00723112733,hold
2019-09-06,HDFCBANK__KOTAKBANK,0,743.9642736381635,196692.97150476548,hold
2019-09-09,HDFCBANK__KOTAKBANK,0,909.7847287697988,197602.75623353527,hold
2019-09-11,HDFCBANK__KOTAKBANK,0,67.11775703660103,197669.87399057188,hold
2019-09-12,HDFCBANK__KOTAKBANK,0,-1254.8116610926797,196415.0623294792,hold
