pair,fold,train_start,train_end,test_start,test_end,n_trades,win_rate,CAGR,Vol,Sharpe,MaxDD,FinalEquity
HEROMOTOCO__EICHERMOT,0,2015-05-29,2019-05-29,2019-05-29,2019-11-29,3.0,0.3333333333333333,-0.04754337213234672,0.04382176035930732,-1.0897380015203553,-0.03381398270835845,195263.24166296003
HEROMOTOCO__EICHERMOT,1,2015-05-29,2019-11-29,2019-11-29,2020-05-29,2.0,0.5,-0.005455390643718361,0.0937437619206213,-0.011928004597384427,-0.04608442481206276,194746.8038742511
HEROMOTOCO__EICHERMOT,2,2015-05-29,2020-05-29,2020-05-29,2020-11-29,3.0,0.6666666666666666,0.0058153217440688465,0.04647402597116502,0.1478735147323023,-0.049474089631057594,195330.21791406343
HEROMOTOCO__EICHERMOT,3,2015-05-29,2020-11-29,2020-11-29,2021-05-29,1.0,0.0,-0.03662588704587977,0.022244117686036062,-1.6662802186682668,-0.024792038933237226,191833.36427406032
HEROMOTOCO__EICHERMOT,4,2015-05-29,2021-05-29,2021-05-29,2021-11-29,0.0,,0.0,0.0,0.0,0.0,191833.36427406032
HEROMOTOCO__EICHERMOT,5,2015-05-29,2021-11-29,2021-11-29,2022-05-29,1.0,1.0,0.007856497167148646,0.01304298838173951,0.606478669294705,-0.008691206985107613,192573.49808494543
HEROMOTOCO__EICHERMOT,6,2015-05-29,2022-05-29,2022-05-29,2022-11-29,1.0,0.0,-0.0901468801026889,0.033682336773905544,-2.787544533096727,-0.04916350310073958,183619.7329231624
HEROMOTOCO__EICHERMOT,7,2015-05-29,2022-11-29,2022-11-29,2023-05-29,0.0,,-0.014382789486646508,0.007729714257381434,-1.8703271325800073,-0.007364901120715195,182325.91091583436
HEROMOTOCO__EICHERMOT,8,2015-05-29,2023-05-29,2023-05-29,2023-11-29,0.0,,0.0,0.0,0.0,0.0,182325.91091583436
HEROMOTOCO__EICHERMOT,9,2015-05-29,2023-11-29,2023-11-29,2024-05-29,1.0,0.0,-0.09293070316665741,0.03960538470443077,-2.44255535063006,-0.04709718563882892,173983.9122861333
HEROMOTOCO__EICHERMOT,10,2015-05-29,2024-05-29,2024-05-29,2024-11-29,1.0,0.0,-0.022058789657824263,0.017406742221042427,-1.2727428158694414,-0.012856004714761782,172039.04564276946
HEROMOTOCO__EICHERMOT,11,2015-05-29,2024-11-29,2024-11-29,2024-12-31,1.0,1.0,0.37643736342238676,0.04860407464004773,6.600849022794069,-0.0061524606898955,176905.23439761752
